,image_name,intersection,ratio,width,height
0,M_P_m1_715_00103,10206,0.02835,600,600
0,M_HS_m1_712_02527,42486,1.6255739210284665,99,264
0,M_P_m1_723_00534,1782,0.00495,600,600
0,M_HS_m1_711_04704,10212,1.1604545454545454,88,100
0,M_HA_m1_723_00119,3714,0.01554300062774639,295,810
0,M_HS_e6_623_00266,17094,0.6588806660499538,92,282
0,M_HS_m1_721_00486,11409,0.3961458333333333,150,192
0,M_HS_m1_725_00159,24042,0.8954189944134078,150,179
0,M_HS_h1_1010_00939,4839,0.9557574560537231,61,83
0,M_HS_m2_822_00287,6402,0.23195652173913042,150,184
0,M_HA_m1_721_00046,0,0.0,936,661
0,M_HS_m1_711_03302,5544,0.5739130434782609,138,70
0,M_HS_m1_723_01841,3393,0.06531531531531531,148,351
0,M_HS_m1_723_01841,1404,0.02702702702702703,148,351
0,M_HS_m1_712_03308,6672,0.6508633304067896,51,201
0,M_HS_h1_1023_00641,789498,0.10966078548156973,2486,2896
0,M_HS_m1_711_01106,56223,1.3014583333333334,120,360
0,M_HS_m1_715_00812,23394,0.26055867415129647,348,258
0,M_HS_m1_715_00812,35451,0.3948476343223737,348,258
0,M_HS_e4_412_00543,7626,0.6435443037974684,150,79
0,M_HA_h1_1024_00161,42021,0.04134297520661157,1200,847
0,M_HS_h2_1113_01609,38724,0.789480122324159,150,327
0,M_HS_h2_1125_01820,34842,0.782087542087542,150,297
0,M_HS_h3_1214_00948,73821,0.8107742998352554,150,607
0,M_HS_h3_1213_00034,2088,0.11136,150,125
0,M_HS_m1_714_01185,1512,0.08596281767013475,123,143
0,M_P_m1_715_00183,4374,0.01215,600,600
0,M_HS_h1_1017_00988,8241,0.1651006711409396,149,335
0,M_HA_m1_721_00130,0,0.0,386,559
0,M_HS_m1_723_01807,14409,0.8654054054054054,150,111
0,M_HS_m2_822_01937,5130,0.6031746031746031,81,105
0,M_HS_h1_1023_02723,3900,0.17567567567567569,150,148
0,M_HA_m2_821_00150,6264,0.023545154524473578,613,434
0,M_HS_m1_711_01642,14400,0.9669621273166801,146,102
0,M_HS_h1_1018_01663,10200,0.4594594594594595,150,148
0,M_HS_m1_711_03338,15612,1.970963262214367,89,89
0,M_HS_e5_525_00026,6048,0.4072727272727273,150,99
0,M_HA_h2_1112_00091,0,0.0,1200,847
0,M_HS_m1_711_01829,7269,0.7879674796747967,123,75
0,M_HS_m1_711_04713,9177,0.9711111111111111,150,63
0,M_HS_m3_922_00639,20328,1.1992920353982301,113,150
0,M_HS_e4_424_00126,1326,0.04055045871559633,150,218
0,M_HS_m1_711_01198,5100,1.8398268398268398,33,84
0,M_HS_h3_1221_01322,29172,0.8419047619047619,150,231
