,image_name,intersection
0,M_P_h2_1113_00459,0.042448112799871596
0,M_HS_h1_1021_01429,0.3650092874256333
0,M_P_h3_1224_00259,0.029565929565929565
0,M_HS_h2_1115_01986,0.4083751866431383
0,M_HA_h1_1010_00014,0.02458087367178276
0,M_HA_h1_1024_00063,0.04528261940532464
0,M_P_h2_1113_00242,0.06898421763286629
0,M_P_m3_921_00801,0.08963756651804976
0,M_HS_m1_713_00284,0.4346775144440514
0,M_HS_h1_1018_01770,0.588006361680232
0,M_HA_m3_914_00034,0.01843137420113158
0,M_HS_h3_1221_00151,0.47525557384712314
0,M_HS_h1_1019_02447,0.18925518925518925
0,M_HS_m1_712_00921,0.28726598939364895
0,M_P_h2_1126_00157,0.014642741915469187
0,M_HS_h2_1114_00470,0.0706583850931677
0,M_P_h1_1026_00022,0.03944070866727873
0,M_P_h3_1215_00213,0.03498603498603499
0,M_HS_h1_1021_01390,0.2732579803751087
0,M_P_h2_1126_00058,0.05584096493187402
0,M_HS_m2_822_00620,0.505736623007412
0,M_HS_h2_1121_00473,0.48480824806685935
0,M_HS_m1_713_01450,0.3694164989939638
0,M_HS_m1_713_00199,0.7009734451594917
0,M_P_m2_822_00536,0.06604422604422605
0,M_HS_h2_1116_00875,0.6818522556903367
0,M_P_h2_1111_00390,0.02314230692609071
0,M_HS_m3_922_00870,0.6556989247311827
0,M_HS_h2_1121_00555,0.5026734104046243
0,M_P_m3_912_00070,0.05039362182219325
0,M_HS_h1_1014_00322,0.18338886832037518
0,M_HS_m3_913_00610,0.7017622461170848
0,M_P_h1_1022_00367,0.06371261543675337
0,M_HS_m1_711_03285,0.4150853889943074
0,M_HA_m2_822_00176,0.03599426432861105
0,M_HS_h2_1115_01844,0.416866028708134
0,M_HS_m2_821_03640,0.6143578643578643
0,M_HS_h2_1116_01473,0.3590944574551132
0,M_HS_h1_1023_01951,0.32192513368983955
0,M_HS_h2_1114_01084,0.6316864498227224
0,M_HS_h2_1114_01084,0.014259287806381995
0,M_HA_m1_723_00095,0.018125187084873835
0,M_P_m1_711_00669,0.028704403704403705
0,M_HS_h2_1124_00278,0.5902046783625731
0,M_P_m1_713_00850,0.06631334425269818
0,M_HA_m2_821_00252,0.03404542919145159
0,M_HS_m1_713_01293,0.506729055258467
0,M_HS_m1_714_04427,0.6415420023014959
0,M_HS_e6_611_00215,0.47876028473698806
0,M_P_h1_1024_00582,0.10298618132794068
0,M_HS_h2_1121_00579,0.147571189279732
0,M_HS_h3_1231_01434,0.4483498153222924
0,M_HS_h3_1235_00177,0.5103505565708589
0,M_HS_h2_1114_00983,0.6414764788076386
0,M_HA_h1_1019_00011,0.01074089309383427
0,M_P_h3_1224_00253,0.011027303603722817
0,M_HA_m3_911_00064,0.016611610367160398
0,M_HS_m1_721_02694,0.6627913025384935
0,M_HS_h1_1021_00231,0.5376707299162873
0,M_HA_m3_912_00034,0.021550393937929214
0,M_P_h2_1123_00083,0.1038083538083538
0,M_HS_m1_715_00494,0.5021938314621242
0,M_HS_h1_1011_01015,0.6381051898293277
0,M_P_e5_515_00145,0.029037301764574492
0,M_HS_h2_1112_00024,0.23242584315318976
0,M_P_h2_1121_00405,0.08738027222315577
0,M_HS_m1_713_00517,0.5885017421602787
0,M_HS_h2_1114_00973,0.21725855696609353
0,M_HS_m2_813_00344,0.5945488721804512
0,M_HS_m1_721_00666,0.09556363636363636
0,M_HA_h1_1016_00015,0.010449626131444314
0,M_HS_m1_711_04120,0.5181390196621435
0,M_P_m3_921_00219,0.0605704518747997
0,M_HA_h1_1011_00017,0.011723570547099958
0,M_HA_h1_1021_00146,0.015707637625044277
0,M_HS_h3_1235_00277,0.5648489218063839
0,M_HA_m3_913_00087,0.02062921640792775
0,M_HS_m3_921_00624,0.3923444976076555
0,M_HS_m1_713_02889,0.43008678881388623
0,M_HA_m2_822_00027,0.009568182334487793
0,M_HS_e6_611_00505,0.6925533134602155
0,M_P_h1_1024_00465,0.046620046620046623
0,M_HA_m1_714_00101,0.016391184573002756
0,M_HA_h1_1022_00019,0.05576187218559476
0,M_P_h2_1125_00318,0.013721620278997327
0,M_P_m1_711_00110,0.054029109866673315
0,M_HS_m3_914_00540,0.31055745651554034
0,M_HA_m1_715_00050,0.02727272727272727
0,M_HA_m3_922_00026,0.017182069650329812
0,M_HA_m3_911_00044,0.07189830094120524
0,M_P_m3_911_00106,0.017692661528277965
0,M_P_h2_1121_00350,0.043460545973108784
0,M_HS_e5_525_00084,0.8094165178706534
0,M_P_h1_1013_00154,0.03246379842124523
0,M_HS_h1_1019_02145,0.5639589169000934
0,M_HS_m1_715_00680,0.4655351023985975
0,M_P_m3_911_00144,0.05770805770805771
0,M_HS_h3_1231_01529,0.04150375939849624
0,M_P_h3_1212_00159,0.043407043407043405
0,M_HS_m2_821_03588,0.5835134053621449
0,M_HA_h2_1112_00019,0.0139728453364817
0,M_P_h2_1122_00106,0.06188989972773756
0,M_HS_h1_1015_01817,0.4351851851851852
0,M_HA_h2_1122_00041,0.02690082644628099
0,M_P_m1_713_00134,0.05405405405405406
0,M_P_m1_712_00886,0.06384713019784109
0,M_P_m1_713_00411,0.06339144215530904
0,M_HS_h1_1015_00644,0.656896551724138
0,M_P_h2_1115_00072,0.0035723522565627827
0,M_P_h2_1116_00045,0.06732186732186732
0,M_HS_h2_1115_02390,0.29320388349514565
0,M_P_m3_912_00068,0.06542614340779479
0,M_P_e6_621_00033,0.06839897748988658
0,M_HA_m1_713_00100,0.02518015753309871
0,M_HS_h1_1016_01216,0.596125730994152
0,M_HS_h2_1116_00419,0.8115791615791615
0,M_P_h3_1224_00219,0.05794817115571833
0,M_HS_h1_1021_01614,0.46505545093115713
0,M_HA_m3_913_00010,0.005855962219598583
0,M_HA_m2_811_00007,0.032161533384501895
0,M_HS_h2_1114_01151,0.382699868938401
0,M_HS_m3_911_00040,0.4983850129198966
0,M_HS_m1_714_01899,0.6867102396514161
0,M_HS_m1_714_01504,0.40498725882781217
0,M_HS_h1_1016_02027,0.5662314857230112
0,M_P_m1_714_00604,0.03148689404613575
0,M_HS_h3_1214_00546,0.656632860040568
0,M_HS_e6_611_00521,0.7963917917826556
0,M_HS_h1_1018_01817,0.47044127190136276
0,M_HS_h1_1026_00852,0.5393282860824742
0,M_P_h2_1124_00048,0.0829326923076923
0,M_HS_h2_1122_00292,0.7236850565843621
0,M_HS_h2_1112_00164,0.2576522310532574
0,M_P_e5_522_00128,0.016880270934324988
0,M_HS_h1_1023_02488,0.6141759776536313
0,M_P_m1_713_00489,0.08064106998731696
0,M_HS_h1_1019_00582,0.5510248112189859
0,M_HS_m2_811_00374,0.18310353912356195
0,M_HS_m1_712_01291,0.2652240104393214
0,M_P_h1_1025_00045,0.029714373464373466
0,M_P_h1_1023_00367,0.06177606177606178
0,M_P_h1_1023_00710,0.016869728209934397
0,M_HS_m2_822_01374,0.3913306895792025
0,M_P_h1_1023_00422,0.07206801761257207
0,M_P_h3_1212_00098,0.018427518427518427
0,M_HS_h2_1114_00690,0.5356256646579227
0,M_HS_e5_526_00009,0.6180387175908161
0,M_HS_h3_1221_01333,0.0463980463980464
0,M_HA_m2_821_00270,0.012749866562422475
0,M_P_h2_1116_00421,0.038314642275038314
0,M_P_m2_821_00425,0.02422471611660801
0,M_HS_h1_1022_00178,0.6096961979261415
0,M_P_h1_1016_00169,0.040487638573762974
0,M_HS_h2_1114_01981,0.6041206769683591
0,M_HS_e5_522_00554,0.7263429122165181
0,M_HS_h1_1015_00746,0.2694078947368421
0,M_HS_h2_1115_02348,0.18960498960498962
0,M_P_m2_813_00062,0.029221140332251445
0,M_P_m1_723_00328,0.026822276822276822
0,M_HS_h2_1114_00643,0.4215143120960296
0,M_HS_h1_1024_00481,0.1649122807017544
0,M_HS_m1_715_00398,0.19733280517594243
0,M_P_h3_1232_00009,0.08778416545406836
0,M_P_m1_712_00106,0.01513780337309749
0,M_P_h2_1121_00424,0.08912218003127094
0,M_HS_m1_713_04772,0.41685342895562527
0,M_P_h2_1125_00346,0.029317855404811927
0,M_P_m3_921_00518,0.022630865680193034
0,M_HS_h1_1015_00085,0.19490254872563717
0,M_HS_m2_814_01084,0.2393641888733053
0,M_HS_h2_1116_00156,0.6377449900902885
0,M_HS_m1_713_03154,0.5337898063366016
0,M_P_m2_821_00212,0.04855122144841771
0,M_P_m3_921_00267,0.06832603354342484
0,M_HS_h2_1121_01445,0.6366445249597423
0,M_HS_h1_1011_01031,0.10457220461747398
0,M_HS_h1_1022_00279,0.5000770534751118
0,M_P_m1_711_01008,0.06337720036350174
0,M_P_e5_522_00109,0.029680589680589682
0,M_HS_m1_714_00459,0.18840579710144928
0,M_P_h1_1023_00385,0.024919361412252407
0,M_HS_h2_1116_01839,0.18373493975903615
0,M_HS_h1_1016_02248,0.3558349609375
0,M_HS_e5_512_00012,0.6937018205674922
0,M_HS_h1_1011_01492,0.5812992066145849
0,M_HS_m1_713_04816,0.5981805929919137
0,M_HS_m1_712_00001,0.6272408819287039
0,M_HS_h2_1116_01092,0.08154943934760449
0,M_HA_m2_821_00249,0.01676280469552695
0,M_HS_e5_514_00429,0.5628242542153048
0,M_HS_m2_814_01902,0.3854359925788497
0,M_HS_h1_1015_01055,0.11826406840326109
0,M_HS_h1_1011_01526,0.40456466610312763
0,M_HS_h2_1125_03157,0.052002873414253026
0,M_P_h1_1023_00220,0.05585186072990951
0,M_P_h1_1018_00349,0.0353045013239188
0,M_HS_h1_1023_00823,0.5203309692671395
0,M_HS_h1_1015_01925,0.4358047016274864
0,M_P_m1_712_00344,0.08244998244998245
0,M_HA_h2_1112_00004,0.017729240456513185
0,M_HA_h1_1016_00049,0.005238095238095238
0,M_P_m2_814_00429,0.03251915016620899
0,M_HS_h1_1021_02452,0.277077497665733
0,M_P_m1_714_00784,0.0453475935828877
0,M_HS_m1_725_00438,0.6683620390706276
0,M_HA_h2_1127_00004,0.05796077311101255
0,M_HS_m1_711_00357,0.696969696969697
0,M_HS_m2_813_00636,0.6004962779156328
0,M_HS_h2_1115_01839,0.45645645645645644
0,M_P_m3_924_00115,0.010839716722069664
0,M_P_h2_1125_00259,0.04524004524004524
0,M_HS_h2_1112_01276,0.2776595744680851
0,M_HS_h1_1023_01617,0.6715728715728716
0,M_HS_h1_1016_01528,0.47354388843314194
0,M_HA_m1_721_00104,0.007133266196710305
0,M_P_h2_1121_00227,0.12675440072700347
0,M_P_h2_1127_00004,0.09190407537514976
0,M_HS_h1_1012_00031,0.3046163114692371
0,M_HS_h1_1023_02815,0.6264926309750063
0,M_P_m1_712_00254,0.038902538902538905
0,M_P_h1_1023_00527,0.09085624860272748
0,M_HS_h1_1023_03434,0.48833746898263025
0,M_HS_h2_1115_02031,0.6488505076438325
0,M_HS_m1_715_00276,0.18992805755395684
0,M_HA_m1_722_00014,0.06761670761670761
0,M_HS_m1_714_01068,0.2729152693941426
0,M_HS_m3_921_02462,0.21731079588889832
0,M_P_m1_714_00039,0.05325176753748182
0,M_P_h2_1113_00497,0.06323946323946324
0,M_HA_h1_1022_00026,0.05284824857442104
0,M_HS_h2_1114_00502,0.44692539429381534
0,M_P_h1_1011_00269,0.03077473608874575
0,M_P_h3_1223_00012,0.05711956646536086
0,M_HS_h1_1021_03334,0.7238948170731707
0,M_HS_m1_714_01849,0.5957542908762421
0,M_HS_h1_1016_00885,0.16483801856781147
0,M_P_h1_1015_00080,0.0498295141152284
0,M_HS_h1_1019_01293,0.26230483271375465
0,M_HS_m1_712_00548,0.3841775754126352
0,M_HS_h1_1016_02024,0.7336372996028828
0,M_P_e5_512_00042,0.04692001646316367
0,M_HS_h1_1019_00569,0.22589531680440772
0,M_P_h1_1013_00064,0.043542877689219155
0,M_HS_m1_724_00137,0.46953275529865124
0,M_P_h1_1012_00209,0.07454650007841497
0,M_P_h2_1112_00047,0.046189402353785915
0,M_HS_m1_713_04887,0.039579020013802625
0,M_HA_m1_712_00182,0.019159049360146254
